Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_10,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q16,Q2,Q6_1,Q6_2,Q6_3,Q6_4,Q7_1,Q7_10,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q8,Q27,age_tab,asian,black,LA,natam,other,white,region,region_coarse,RZIP,RZIP4,SD,SEX,URBANICITY,w1,AD,AGE,CD,CNTY,CompletionDate,F12,F13,F14,F15,F16,F17,F18,F19,F20,ID,lang,latlang,likely,party_reg,Q20_1,Q20_2,Q20_3,Q20_4,Q20_5,Q21,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q25,Q26,Q48_6,Q29_argentina,Q29_bolivia,Q29_chile,Q29_colombia,Q29_costa_rica,Q29_cuba,Q29_ecuador,Q29_el_salvador,Q29_guatemala,Q29_honduras,Q29_mexico,Q29_nicaragua,Q29_others,Q29_panama,Q29_paraguay,Q29_peru,Q29_puerto_rico,Q29_uruguay,Q29_venezuela,Q30,Q31_bangladesh,Q31_bhutan,Q31_burma,Q31_cambodia,Q31_china,Q31_guam,Q31_hawaii,Q31_hmong,Q31_india,Q31_indonesia,Q31_japan,Q31_korea,Q31_laos,Q31_malaysia,Q31_nepal,Q31_others,Q31_pakistan,Q31_philippines,Q31_samoa,Q31_sri_lanka,Q31_taiwan,Q31_thailand,Q31_vietnam,Q32,Q33a,Q33b,Q33c,Q33d,Q34,Q35,Q36,Q37
 , , , , , , , , , , , , , , ,1,5, ,5,5,1,1,1,3,4,1,2,3,2,2,2,5,1,1, ,0, , , ,1,1,95124,1313,15,1,3,2.45431955904576032e-01,28,29,16,43,1,2,1,2,1,2,1,1,2,1,12411,1, ,1,1,4,1,5,5,5,29,2,8, , ,1, , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1, , ,5,2,3,7
1,3,3,4,2,3,1,3,4,1,1,3,1,3,3, , , , , , , , , , , , , , , , ,5,1, , ,0,1,1, ,2,2,93035,1303,21,1,3,3.00036585721264015e-01,38,28,26,56,1,1,1,2,1,2,1,1,2,1, 6333,1, ,1,1,4,4,4,1,1,28,2,5, , ,1, ,1, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,4, , ,3,5,2,3,5
5,4,4,1,3,3,4,1,1,2,3,1,3,1,3, , , , , , , , , , , , , , , , ,3,4, , ,0, , , ,8,7,92656,2500,37,2,3,2.40634785564357023e-01,72,59,40,30,1,1,1,1,1,1,1,1,1,1,12897,1,1,1,4,1,4,1,5,5,59,1,8,1,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,3, , ,2,2,1,1,7
5,5,5,5,2,2,2,2,2,2,2,2,2,1,1, , , , , , , , , , , , , , , , ,3,2, , ,0, , , ,8,7,92703,4728,34,1,3,1.28443581083605007e+00,68,36,46,30,1,2,2,2,2,2,3,2,2,2,  801,1,2,2,1,1,4,5,5,5,37,2,6, ,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,3,2,2,3
4,4,4,2,3,4,3,1,1,4,3,3,3,1,1, , , , , , , , , , , , , , , , ,3,2, , ,0, ,1, ,6,5,91702,1483,22,2,3,9.96946665542810112e-02,48,35,31,19,1,1,1,1,1,1,1,2,2,1, 6326,1, ,1,2,2,4,1,4,4,35,1,8, , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,3, , ,3,1,2,1, 
5,2,2,3,1,3,2,3,3,3,3,3,2,3,3, , , , , , , , , , , , , , , , ,4,5, , ,0, , ,1,1,1,95030,6126,13,2,2,1.81026458697367998e+00,28,70,16,43,1,2,2,1,1,1,1,1,1,1,11375,1, ,2,2,4,2,5,5,5,70,1,3,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,3, , ,1,3,1,2,3
1,2,3,4,1,3,1,3,3,1,1,3,2,3,2, , , , , , , , , , , , , , , , ,5,2, , ,0, , ,1,1,1,94703,1818, 7,2,3,2.29430410483742020e-01,14,32,12, 1,1,2,3,3,1,3,1,1,1,1,13165,1, ,1,1,4,3,4,2,3,32,1,8,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,2, , ,2,1,2,6
 , , , , , , , , , , , , , , ,1,1,1,1,4,1,3,1,1,3,1,2,3,1,3,1,5,6, , ,0, , ,1,1,1,94547,1520, 7,2,2,5.22911389556300010e-01,14,82, 8, 7,1,3,3,3,3,3,1,1,1,1,10604,1, ,1,1,4,1,3,3,3,82,1,7,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,4,1,1,4
1,1,2,4,1,3,2,3,2,1,1,3,1,3,1, , , , , , , , , , , , , , , , ,5,2, , ,0, ,1, ,6,5,91801,1849,25,1,3,3.28439477616319975e-01,49,38,28,19,1,2,2,1,1,1,1,1,1,1, 5363,1, ,1,1,4,1,4,4,4,39,2,7, , , , , , ,1, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,5,2,2,4
5,2,2,5,1,1,1,2,3,1,2,1,2,1,3, , , , , , , , , , , , , , , , ,5,1, , ,1, , ,1,6,5,90034,4984,28,2,3,4.81014299712572035e-01,55,26,37,19,1,2,2,2,2,2,2,2,2,3, 6311,1, ,2,1,4,2,3,5,2,26,1,7,1, , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,1, , ,5,2,2,4
